영화인명,영화인 코드,분야,필모리스트
로버트 로드리게즈,10016605,감독,알리타: 배틀 엔젤|씬 시티: 다크히어로의 부활|마세티 킬즈|스파이키드4 : 올더타임인더월드|마셰티|쇼츠|플래닛 테러|그라인드 하우스|샤크보이와 라바걸의 모험 : 3-D|스파이 키드 3D|원스 어폰 어 타임 인 멕시코 |스파이 키드 2|스파이 키드|패컬티|황혼에서 새벽까지|포 룸 |엘 마리아치
마이크 미첼,10022687,감독,레고 무비2|트롤|앨빈과 슈퍼밴드3|슈렉 포에버|스카이 하이|서바이빙 크리스마스|듀스 비갈로
크리스토퍼 랜던,10077478,감독,해피 데스데이 2 유|해피 데스데이|파라노말 액티비티 : 더 마크드 원스
롭 마샬,10018173,감독,메리 포핀스 리턴즈|숲속으로|캐리비안의 해적: 낯선 조류|나인|게이샤의 추억|시카고
야마모토 야스이치로,20115431,감독,명탐정 코난: 에피소드 원-작아진 명탐정|명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀|명탐정 코난: 11번째 스트라이커|명탐정 코난: 천공의 난파선|명탐정 코난:전율의 악보|명탐정 코난:감벽의 관|명탐정 코난 : 탐정들의 진혼가 |명탐정 코난 : 수평선상의 음모|명탐정 코난:은빛 날개의 마술사
장재현,10060462,감독,"사바하|시간위의 집|검은 사제들|광해, 왕이 된 남자|특수본|바다|12번째 보조사제|버스|인도에서 온 말리|오오단편극장 - 이학주 배우전|어둑시니: 두려움을 먹는 자|제14회 미쟝센 단편영화제 전년도 수상작1|1월 단편 상상극장-해피 뉴 스타|제13회 미쟝센 단편영화제 심야의 절대구타 360|제13회 미쟝센 단편영화제 절대악몽1"
린 사우더랜드,10020816,감독,신데렐라:마법 반지의 비밀|뮬란 2
한스 페터 몰란트,10087600,감독,콜드 체이싱|미결처리반 Q: 믿음의 음모|사라짐의 순서|거품이 사라지면 |페더젠 동지|아름다운 나라
요르고스 란티모스,10065698,감독,더 페이버릿: 여왕의 여자|킬링 디어|더 랍스터|송곳니|송곳니 감독판|내 가장 친한 친구
애너 보든,10042886,감독,캡틴 마블|이츠 카인드 오브 어 퍼니 스토리|슈거
라파엘 리바스,10051453,감독,리노
애덤 로비텔,10033522,감독,이스케이프 룸|인시디어스4: 라스트 키|테이킹
클린트 이스트우드,10078519,감독,라스트 미션|설리: 허드슨강의 기적|아메리칸 스나이퍼|저지 보이즈|내 인생의 마지막 변화구 |J.에드가 - FBI의 시작|히어애프터|우리가 꿈꾸는 기적: 인빅터스|그랜 토리노|체인질링|아버지의 깃발|이오지마에서 온 편지|밀리언 달러 베이비|더 블루스: 피아노 블루스|미스틱 리버|블러드 워크|스페이스 카우보이|클린트 이스트우드: 아웃 오브 섀도우|트루 크라임|앱솔루트 파워 |매디슨 카운티의 다리|완전한 세상 |사선에서|용서받지 못한 자|후계자|더티해리 4-써든 임팩트/서든 임팩트|화이어폭스|더티 파이터 2|원 웨이 티켓|더티 해리3-집행자|아우트 로|아이거 빙벽|대도적|황야의 스트렌저|이것이 법이다|브리지|어둠속에 벨이 울릴 때|더티 해리|사기당한 사람들|켈리의 영웅들|집행자|황야의 무법자|더티 화이터
아르나드 부롱,20317199,감독,숲속왕국의 꿀벌 여왕
스도 토모노리,20284809,감독,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이|페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워
막심 파디브,10084180,감독,정글북: 마법 원정대
조던 필,10086265,감독,어스|겟 아웃
팀 버튼,10081788,감독,덤보|미스 페레그린과 이상한 아이들의 집|거울나라의 앨리스|빅 아이즈|링컨: 뱀파이어 헌터|다크 섀도우|프랑켄위니|이상한 나라의 앨리스|스위니 토드 : 어느 잔혹한 이발사 이야기|유령신부(애니)|찰리와 초콜릿 공장|빅 피쉬|혹성탈출|슬리피 할로우|팀버튼의 화성침공 |팀 버튼의 크리스마스 악몽|배트맨2|가위손|프랑켄위니|빈센트 
프랭키 첸,10060348,감독,장난스런 키스|나의 소녀시대
김지혜,20239886,감독,썬키스 패밀리|생생활활
신상민,20318581,감독,1919 유관순
워시 웨스트모어랜드,10052420,감독,콜레트|스틸 앨리스|달콤한 열여섯
데이비드 F. 샌드버그,20235586,감독,샤잠!|애나벨 : 인형의 주인|라이트 아웃
이종언,20159971,감독,생일|시|여행자|밀양|봄|처녀네 식당
이창근,20316812,감독,로망
아담 맥케이,10041297,감독,바이스|빅쇼트|앵커맨: 더 레전드 컨티뉴|스탠바이 캅|스텝 브라더스|텔라데가 나이트 : 리키 바비의 발라드|앵커맨
닐 마샬,10009025,감독,헬보이|센츄리온|둠스데이:지구 최후의 날|디센트|독 솔져
케빈 콜쉬,20189699,감독,공포의 묘지|오디션
저스틴 밸도니,10061189,감독,파이브 피트
마이클 차베즈,10073007,감독,요로나의 저주
강지은,10000873,감독,"크게 될 놈|고산자, 대동여지도|강철중: 공공의 적 1-1|도마뱀|실미도|공공의 적"
김성기,20302929,감독,왓칭
피에르 모렐,10085431,감독,아이 엠 마더|더 건맨 : 테이큰 감독 뉴프로젝트|더 건맨|프롬 파리 위드 러브|테이큰|13구역|트랜스포터
안소니 루소,10043421,감독,어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
로저 미첼,10017730,감독,위크엔드 인 파리|굿모닝 에브리원|사랑을 견뎌내기|마더|체인징 레인스|노팅 힐|설득
육상효,10054185,감독,"나의 특별한 형제|화장|강철대오:구국의 철가방|방가? 방가!|여자, 정혜|달마야, 서울 가자|아이언 팜|축제|장미빛 인생"
롭 레터맨,10018169,감독,명탐정 피카츄|구스범스|걸리버 여행기|몬스터 vs 에이리언|샤크
캘리 애스버리,10076064,감독,어글리 돌|스머프: 비밀의 숲|노미오와 줄리엣|슈렉2|스피릿
미즈노 시게노리,20243469,감독,안도 타다오
크리스찬 하스,10013576,감독,프렌즈: 둥지탈출
앤소니 마라스,20312876,감독,호텔 뭄바이
이원태,20131414,감독,악인전|대장 김창수|조선마술사|가비|파파|오싹한 연애
홍승완,20314390,감독,배심원들
이호경,20322109,감독,교회오빠
루카 구아다니노,10018860,감독,서스페리아|콜 미 바이 유어 네임|비거 스플래쉬|베르톨루치가 말하는 베르톨루치 |아이 엠 러브|멜리사 P.
가이 리치,10000296,감독,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
장규성,10060063,감독,어린 의뢰인|바람 바람 바람|나는 왕이로소이다|이장과 군수|여선생 VS 여제자|선생 김봉두|재밌는 영화
데이빗 야로베스키,10043278,감독,더 보이|더 하이브
봉준호,10031641,감독,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
마이클 도허티,10022882,감독,고질라: 킹 오브 몬스터|트릭 오어 트릿
유선동,10053709,감독,0.0MHz|내 심장을 쏴라|고死 두 번째 이야기: 교생실습|미스터 주부퀴즈왕|아라한 장풍대작전|샌드위치
미야자키 하야오,10027387,감독,바람이 분다|벼랑 위의 포뇨|하울의 움직이는 성|붉은 돼지|센과 치히로의 행방불명|모노노케 히메|마녀배달부 키키|이웃집 토토로|천공의 성 라퓨타|바람계곡의 나우시카|루팡 3세: 칼리오스트로의 성|팬더와 친구들의 모험
F. 게리 그레이,10091258,감독,맨 인 블랙: 인터내셔널|분노의 질주: 더 익스트림|스트레이트 아웃 오브 컴턴|모범시민|쿨|빈 디젤의 디아블로|이탈리안 잡|네고시에이터|셋잇오프 
로버트 페르난데스,10066410,감독,천로역정: 천국을 찾아서
닐 버거,10009032,감독,업사이드|다이버전트|리미트리스|럭키 원스|일루셔니스트
미미 레더,10027082,감독,세상을 바꾼 변호인|코드|사라 실종 사건|아름다운 세상을 위하여|딥 임팩트|피스메이커
조시 쿨리,10023314,감독,토이 스토리 4
강윤성,20135271,감독,롱 리브 더 킹: 목포 영웅|범죄도시|영어완전정복
라스 클리브버그,10008737,감독,사탄의 인형|폴라로이드
게리 도버먼,10018162,감독,애나벨 집으로
닐 조단,10009058,감독,마담 싸이코|온딘|브레이브 원|플루토에서 아침을|더블 다운|사랑의 슬픔 애수|인드림스|푸줏간 소년 |마이클 콜린스 |뱀파이어와의 인터뷰 |크라잉 게임|두번째 이별|모나리자
존 왓츠,10038689,감독,스파이더맨: 파 프롬 홈|스파이더맨: 홈 커밍|캅카
남대중,20209287,감독,기방도령|위대한 소원
히라야마 미호,10090941,감독,극장판 엉덩이 탐정: 화려한 사건 수첩
아리 애스터,10021926,감독,미드소마|유전
